# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2138941614939
#
# Children      Self  Command          Shared Object       Symbol                                           
# ........  ........  ...............  ..................  .................................................
#
     0.06%     0.02%  postgres         [kernel.kallsyms]   [k] balance_dirty_pages_ratelimited
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] schedule_hrtimeout_range
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_es_insert_extent
     0.06%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] down_read_trylock
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_ext_map_blocks
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] try_to_wake_up
     0.06%     0.06%  swapper          [kernel.kallsyms]   [k] psi_group_change
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] __page_cache_alloc
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] rmap_walk
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] rmap_walk_anon
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] try_to_migrate
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] try_to_migrate_one
     0.06%     0.05%  postgres         [kernel.kallsyms]   [k] change_protection
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] futex_wake
     0.06%     0.01%  postgres         [kernel.kallsyms]   [k] test_clear_page_writeback
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] end_page_writeback
     0.06%     0.02%  postgres         [kernel.kallsyms]   [k] rmqueue_bulk
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] flush_tlb_mm_range
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] native_flush_tlb_multi
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] on_each_cpu_cond_mask
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] ptep_clear_flush
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_common_lock
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_sync_key
     0.06%     0.01%  postgres         [kernel.kallsyms]   [k] __set_page_dirty
     0.06%     0.01%  postgres         [kernel.kallsyms]   [k] psi_task_change
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_common
     0.06%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] ep_poll_callback
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] sock_alloc_send_pskb
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sock_def_readable
     0.06%     0.03%  postgres         [kernel.kallsyms]   [k] unlock_page
     0.06%     0.06%  postgres         [kernel.kallsyms]   [k] __set_page_dirty_no_writeback
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] xas_find
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] __sys_recvfrom
     0.05%     0.03%  tclsh8.6         [kernel.kallsyms]   [k] smp_call_function_many_cond
     0.05%     0.01%  postgres         [kernel.kallsyms]   [k] task_tick_fair
     0.05%     0.03%  swapper          [kernel.kallsyms]   [k] enqueue_entity
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] autoremove_wake_function
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] default_wake_function
     0.05%     0.02%  postgres         [kernel.kallsyms]   [k] filemap_get_read_batch
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_recvfrom
     0.05%     0.00%  swapper          [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] schedule_hrtimeout_range
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] rmap_walk
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_recvfrom
     0.05%     0.02%  kcompactd1       [kernel.kallsyms]   [k] isolate_freepages_block
     0.05%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_page_move_mapping
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] rmap_walk_anon
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] __alloc_skb
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] alloc_skb_with_frags
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __sys_recvfrom
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sock_recvmsg
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] sock_recvmsg
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] obj_cgroup_charge
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] alloc_buffer_head
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] alloc_page_buffers
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] create_empty_buffers
     0.05%     0.00%  postgres         [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.05%     0.02%  postgres         [kernel.kallsyms]   [k] ttwu_queue_wakelist
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] unix_stream_read_generic
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] unix_stream_recvmsg
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] lru_cache_add
     0.04%     0.00%  swapper          [kernel.kallsyms]   [k] tick_sched_timer
     0.04%     0.04%  postgres         [kernel.kallsyms]   [k] __fget_light
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] __test_set_page_writeback
     0.04%     0.02%  postgres         [kernel.kallsyms]   [k] __cgroup_account_cputime
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] charge_memcg
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] ext4_find_extent
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] mempool_alloc
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] psi_task_switch
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] consume_skb
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] try_charge_memcg
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] futex_wait_queue_me
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] unix_stream_read_generic
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] unix_stream_recvmsg
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] pick_next_task_fair
     0.04%     0.03%  kcompactd1       [kernel.kallsyms]   [k] isolate_migratepages_block
     0.04%     0.00%  swapper          [kernel.kallsyms]   [k] psi_task_switch
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] __do_sys_newfstatat
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_newfstatat
     0.04%     0.04%  tclsh8.6         [kernel.kallsyms]   [k] iterate_groups
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] lock_page_lruvec_irqsave
     0.04%     0.02%  postgres         [kernel.kallsyms]   [k] __es_insert_extent
     0.04%     0.00%  swapper          [kernel.kallsyms]   [k] tick_sched_handle
     0.04%     0.00%  swapper          [kernel.kallsyms]   [k] update_process_times
     0.04%     0.04%  postgres         [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.04%     0.00%  swapper          [kernel.kallsyms]   [k] asm_sysvec_call_function_single
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] __cond_resched
     0.04%     0.01%  postgres         [kernel.kallsyms]   [k] bio_alloc_bioset
     0.04%     0.04%  postgres         [kernel.kallsyms]   [k] __update_load_avg_se
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __alloc_skb
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] alloc_skb_with_frags
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sock_alloc_send_pskb
     0.04%     0.03%  postgres         [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.04%     0.02%  postgres         [kernel.kallsyms]   [k] __mod_zone_page_state
     0.04%     0.04%  kcompactd1       [kernel.kallsyms]   [k] xas_load
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] inet_sendmsg
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] udp_sendmsg
     0.04%     0.01%  swapper          [kernel.kallsyms]   [k] psi_task_change
     0.04%     0.00%  postgres         [kernel.kallsyms]   [k] mem_cgroup_charge_statistics.constprop.0
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] enqueue_task
     0.03%     0.02%  swapper          [kernel.kallsyms]   [k] set_next_entity
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] update_cfs_group
     0.03%     0.03%  kcompactd1       [kernel.kallsyms]   [k] _raw_spin_lock
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] ___slab_alloc
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] __irqentry_text_start
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] sugov_update_single_freq
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] __count_memcg_events
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] ttwu_do_activate
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] __read_end_io
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] mpage_end_io
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] sysvec_call_function_single
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] __getblk_gfp
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] task_numa_migrate.isra.0
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] task_numa_fault
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] update_sd_lb_stats.constprop.0
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] find_busiest_group
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] balance_dirty_pages
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] mem_cgroup_wb_stats
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] blk_finish_plug
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] clear_page_dirty_for_io
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] __pagevec_lru_add
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] __sysvec_call_function_single
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] generic_smp_call_function_single_interrupt
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] vfs_statx
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] ____fput
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] rebalance_domains
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] futex_wait_setup
     0.03%     0.02%  swapper          [kernel.kallsyms]   [k] update_load_avg
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] perf_event_task_tick
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] pmd_val
     0.03%     0.02%  swapper          [kernel.kallsyms]   [k] tick_nohz_idle_exit
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] ext4_mark_iloc_dirty
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] obj_cgroup_charge_pages
     0.03%     0.00%  swapper          [kernel.kallsyms]   [k] finish_task_switch.isra.0
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] asm_common_interrupt
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] common_interrupt
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] kmem_cache_free
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] copy_page
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] kfree
     0.03%     0.01%  postgres         [kernel.kallsyms]   [k] file_update_time
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] __d_lookup_rcu
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] lookup_fast
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] remove_migration_pte
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] __blk_rq_map_sg
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] newidle_balance
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] __read_extent_tree_block
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_page
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] move_to_new_page
     0.03%     0.02%  swapper          [kernel.kallsyms]   [k] _raw_spin_lock
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] find_vma
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] drain_stock
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] refill_stock
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] asm_sysvec_call_function_single
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] mempool_alloc_slab
     0.03%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] update_load_avg
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] new_slab
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] load_balance
     0.03%     0.03%  swapper          [kernel.kallsyms]   [k] __switch_to_asm
     0.03%     0.03%  postgres         [kernel.kallsyms]   [k] __get_user_nocheck_1
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] __fput
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] __lock_text_start
     0.03%     0.02%  postgres         [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.03%     0.00%  postgres         [kernel.kallsyms]   [k] walk_component
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] page_counter_uncharge
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] sysvec_call_function_single
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] user_path_at_empty
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] get_obj_cgroup_from_current
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] uncharge_page
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __mem_cgroup_uncharge_list
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_locked_key_bookmark
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] wake_page_function
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] wake_up_page_bit
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] wake_up_state
     0.02%     0.01%  swapper          [kernel.kallsyms]   [k] load_balance
     0.02%     0.02%  kcompactd1       [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_lock_irqsave
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] set_task_cpu
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] tlb_finish_mmu
     0.02%     0.01%  kcompactd1       [kernel.kallsyms]   [k] PageHuge
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __sysvec_call_function_single
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] generic_smp_call_function_single_interrupt
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] dequeue_task
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] page_counter_cancel
     0.02%     0.00%  kcompactd1       [kernel.kallsyms]   [k] __put_page
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] filename_lookup
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] __common_interrupt
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] consume_skb
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] wake_up_page_bit
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] __read_end_io
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] mpage_end_io
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] unlock_page
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_close
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] path_lookupat
     0.02%     0.02%  swapper          [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] do_set_pte
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __smp_call_single_queue
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] kfree
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] skb_release_data
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] vfs_open
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] submit_bio_checks
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] memcg_slab_free_hook
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] rcu_core
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] rcu_core_si
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] bvec_alloc
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] send_call_function_single_ipi
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] try_charge_memcg
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] obj_cgroup_charge
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] obj_cgroup_charge_pages
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] xas_clear_mark
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] xas_find_marked
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] memset_erms
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] memcg_slab_free_hook
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] enqueue_task_fair
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] percpu_counter_add_batch
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] __wake_up_common
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] __wake_up_locked_key_bookmark
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] wake_page_function
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] wake_up_state
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] kthread
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ret_from_fork
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] worker_thread
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] scheduler_tick
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] psi_task_change
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] mod_objcg_state
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] __find_get_block
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] try_to_wake_up
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] skb_free_head
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] pick_next_task_idle
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __put_page
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] inc_node_page_state
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] page_add_file_rmap
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] xas_start
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] switch_fpu_return
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] activate_task
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] attach_task
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.02%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] process_one_work
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ip_make_skb
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] sockfd_lookup_light
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] enqueue_entity
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] filp_close
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] close_fd
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] page_vma_mapped_walk
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] finish_task_switch.isra.0
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] find_busiest_group
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] rcu_all_qs
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] refill_obj_stock
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] obj_cgroup_uncharge
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] refill_obj_stock
     0.02%     0.02%  swapper          [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] blk_mq_get_tag
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] task_numa_find_cpu
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]   [k] __restore_fpregs_from_fpstate
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] __entry_text_start
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] irqentry_exit
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] dequeue_task_fair
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] generic_update_time
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] fault_dirty_shared_page
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] try_to_unlazy
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] __perf_event_enable
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] __x64_sys_ioctl
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] _perf_event_enable
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] _perf_ioctl
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] do_syscall_64
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] event_function
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] event_function_call
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] generic_exec_single
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] perf_event_for_each_child
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] perf_ioctl
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] remote_function
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] smp_call_function_single
     0.02%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] bio_associate_blkg
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] getname
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] rw_verify_area
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] __brelse
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] link_path_walk.part.0
     0.02%     0.01%  swapper          [kernel.kallsyms]   [k] update_sd_lb_stats.constprop.0
     0.02%     0.02%  swapper          [kernel.kallsyms]   [k] resched_curr
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __blk_mq_alloc_request
     0.02%     0.00%  perf             [kernel.kallsyms]   [k] ctx_resched
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] __switch_to
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] do_dentry_open
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] save_fpregs_to_fpstate
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] __ip_finish_output
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ip_finish_output
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ip_finish_output2
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ip_output
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ip_send_skb
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] udp_send_skb
     0.02%     0.02%  postgres         [kernel.kallsyms]   [k] rb_next
     0.02%     0.01%  postgres         [kernel.kallsyms]   [k] ep_item_poll.isra.0
     0.02%     0.00%  swapper          [kernel.kallsyms]   [k] __mod_lruvec_page_state
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] mempool_kmalloc
     0.02%     0.00%  postgres         [kernel.kallsyms]   [k] getname_flags.part.0
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] fput
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_page_states
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_page_copy
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] check_preempt_curr
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] security_file_permission
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_reserve_inode_write
     0.01%     0.01%  swapper          [kernel.kallsyms]   [k] switch_mm_irqs_off
     0.01%     0.01%  swapper          [kernel.kallsyms]   [k] native_irq_return_iret
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] mpage_prepare_extent_to_map
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] __writeback_single_inode
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] do_writepages
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] ext4_writepages
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] kthread
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] process_one_work
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] ret_from_fork
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] wb_workfn
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] wb_writeback
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] worker_thread
     0.01%     0.00%  kworker/u98:4-w  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.01%     0.01%  postgres         [kernel.kallsyms]   [k] drain_obj_stock
     0.01%     0.01%  postgres         [kernel.kallsyms]   [k] copy_page_to_iter
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] __ext4_journal_stop
     0.01%     0.00%  postgres         [kernel.kallsyms]   [k] jbd2_journal_stop
