# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1583175347728
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                      
# ........  ........  ...............  ..................................  ............................................................................................................................................................
#
     0.60%     0.01%  G1 Conc#0        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.01%  G1 Conc#1        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.01%  GC Thread#6      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.01%  G1 Conc#2        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] tick_sched_timer
     0.60%     0.01%  G1 Conc#4        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.01%  GC Thread#12     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.01%  G1 Conc#3        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.60%     0.03%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     0.59%     0.01%  GC Thread#15     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.59%     0.00%  G1 Conc#0        [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.00%  G1 Conc#1        [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] tick_sched_timer
     0.59%     0.01%  G1 Conc#5        [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.59%     0.00%  G1 Conc#2        [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.02%  Executor task l  [kernel.kallsyms]                   [k] open_last_lookups
     0.59%     0.00%  G1 Conc#4        [kernel.kallsyms]                   [k] __run_hrtimer
     0.59%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] tick_sched_timer
     0.58%     0.00%  G1 Conc#3        [kernel.kallsyms]                   [k] __run_hrtimer
     0.58%     0.00%  G1 Refine#2      [kernel.kallsyms]                   [k] tick_sched_handle
     0.58%     0.01%  GC Thread#11     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.58%     0.01%  GC Thread#8      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.58%     0.01%  GC Thread#13     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.58%     0.02%  G1 Refine#2      [kernel.kallsyms]                   [k] update_process_times
     0.58%     0.01%  GC Thread#17     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] tick_sched_handle
     0.58%     0.00%  G1 Conc#5        [kernel.kallsyms]                   [k] __run_hrtimer
     0.58%     0.01%  GC Thread#20     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.57%     0.00%  kswapd0          [kernel.kallsyms]                   [k] lru_gen_shrink_lruvec
     0.57%     0.01%  GC Thread#8      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.57%     0.01%  GC Thread#13     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.57%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] tick_sched_handle
     0.57%     0.00%  G1 Conc#1        [kernel.kallsyms]                   [k] tick_sched_timer
     0.57%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] __run_hrtimer
     0.57%     0.00%  G1 Conc#0        [kernel.kallsyms]                   [k] tick_sched_timer
     0.57%     0.02%  GC Thread#2      [kernel.kallsyms]                   [k] update_process_times
     0.57%     0.01%  GC Thread#21     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.57%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] __run_hrtimer
     0.57%     0.00%  G1 Refine#5      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.57%     0.00%  G1 Conc#2        [kernel.kallsyms]                   [k] tick_sched_timer
     0.57%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] tick_sched_timer
     0.57%     0.00%  G1 Conc#4        [kernel.kallsyms]                   [k] tick_sched_timer
     0.57%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] __run_hrtimer
     0.56%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] tick_sched_timer
     0.56%     0.00%  G1 Conc#3        [kernel.kallsyms]                   [k] tick_sched_timer
     0.56%     0.00%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     0.56%     0.00%  GC Thread#5      [kernel.kallsyms]                   [k] tick_sched_handle
     0.56%     0.01%  G1 Refine#4      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.56%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_call_function_single
     0.56%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     0.56%     0.02%  GC Thread#9      [kernel.kallsyms]                   [k] update_process_times
     0.56%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] __run_hrtimer
     0.56%     0.00%  G1 Conc#5        [kernel.kallsyms]                   [k] tick_sched_timer
     0.55%     0.02%  G1 Refine#3      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.55%     0.02%  G1 Refine#0      [kernel.kallsyms]                   [k] scheduler_tick
     0.55%     0.01%  G1 Refine#4      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.55%     0.02%  GC Thread#5      [kernel.kallsyms]                   [k] update_process_times
     0.55%     0.00%  G1 Refine#5      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.55%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.55%     0.00%  GC Thread#16     [kernel.kallsyms]                   [k] tick_sched_handle
     0.55%     0.00%  GC Thread#19     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.55%     0.00%  GC Thread#19     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.55%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.55%     0.10%  Executor task l  [kernel.kallsyms]                   [k] do_dentry_open
     0.55%     0.00%  GC Thread#11     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#10     [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.00%  G1 Conc#1        [kernel.kallsyms]                   [k] tick_sched_handle
     0.54%     0.24%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.54%     0.00%  GC Thread#22     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.54%     0.02%  GC Thread#16     [kernel.kallsyms]                   [k] update_process_times
     0.54%     0.00%  GC Thread#10     [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.54%     0.02%  G1 Conc#1        [kernel.kallsyms]                   [k] update_process_times
     0.54%     0.00%  G1 Conc#4        [kernel.kallsyms]                   [k] tick_sched_handle
     0.54%     0.00%  G1 Conc#0        [kernel.kallsyms]                   [k] tick_sched_handle
     0.54%     0.00%  GC Thread#21     [kernel.kallsyms]                   [k] tick_sched_timer
     0.54%     0.00%  GC Thread#4      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.00%  G1 Refine#3      [kernel.kallsyms]                   [k] __run_hrtimer
     0.54%     0.00%  GC Thread#0      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.00%  GC Thread#12     [kernel.kallsyms]                   [k] tick_sched_handle
     0.54%     0.01%  GC Thread#7      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.54%     0.02%  G1 Conc#4        [kernel.kallsyms]                   [k] update_process_times
