# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7931925522321
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     5.52%     0.02%  swapper          [kernel.kallsyms]     [k] do_idle
     5.40%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
     5.35%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     5.32%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     5.21%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
     5.21%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
     5.14%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     5.08%     5.08%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
     5.05%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     5.03%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     4.86%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     4.85%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     4.77%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     4.65%     4.62%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     4.59%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     4.31%     4.07%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     3.92%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     3.92%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     3.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     3.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     3.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     3.87%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     3.31%     3.28%  java             [kernel.kallsyms]     [k] down_read_trylock
     3.21%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     3.07%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     2.83%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     2.81%     0.06%  kswapd0          [kernel.kallsyms]     [k] evict_pages
     2.67%     0.36%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     2.52%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     2.51%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     2.49%     0.05%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.43%     0.05%  java             [kernel.kallsyms]     [k] do_syscall_64
     2.38%     0.08%  java             [kernel.kallsyms]     [k] __alloc_pages
     2.26%     0.01%  java             [kernel.kallsyms]     [k] rmap_walk
     2.17%     0.25%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     2.07%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     2.07%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     2.07%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     2.07%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     2.07%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     2.04%     0.01%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.03%     0.19%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     2.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     1.92%     1.90%  java             [kernel.kallsyms]     [k] sync_regs
     1.92%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     1.91%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.88%     0.19%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.87%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.82%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     1.80%     0.81%  LocalJobRunner   [kernel.kallsyms]     [k] charge_memcg
     1.79%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     1.78%     0.02%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     1.77%     0.03%  kswapd1          [kernel.kallsyms]     [k] evict_pages
     1.77%     1.75%  java             [kernel.kallsyms]     [k] up_read
     1.73%     0.11%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     1.73%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     1.71%     0.07%  java             [kernel.kallsyms]     [k] do_sched_yield
     1.62%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.62%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     1.60%     0.21%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ondemand_readahead
     1.60%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.59%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     1.56%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     1.56%     0.03%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     1.56%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] try_to_free_pages
     1.55%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] shrink_node
     1.55%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_try_to_free_pages
     1.54%     1.53%  java             [kernel.kallsyms]     [k] copy_page
     1.52%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] shrink_lruvec
     1.50%     0.03%  java             [kernel.kallsyms]     [k] schedule
     1.50%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] evict_pages
     1.50%     1.49%  LocalJobRunner   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.49%     0.96%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.49%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     1.43%     0.28%  LocalJobRunner   [kernel.kallsyms]     [k] __pagevec_lru_add
     1.42%     1.41%  java             [kernel.kallsyms]     [k] clear_page_erms
     1.41%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     1.41%     0.02%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     1.40%     0.31%  java             [kernel.kallsyms]     [k] __schedule
     1.38%     1.02%  Sampler Reader   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.36%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     1.35%     0.01%  VM Thread        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.34%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_syscall_64
     1.34%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     1.28%     0.02%  java             [kernel.kallsyms]     [k] irqentry_exit
     1.25%     0.02%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     1.14%     1.13%  LocalJobRunner   [kernel.kallsyms]     [k] sync_regs
     1.12%     0.08%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     1.09%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_mmap
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] vm_mmap_pgoff
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_mmap
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] mmap_region
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] __do_munmap
     1.07%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_region
     1.06%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_vmas
     1.06%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_single_vma
     1.06%     1.06%  LocalJobRunner   libc.so.6             [.] 0x00000000001b2eae
     1.05%     0.18%  VM Thread        [kernel.kallsyms]     [k] unmap_page_range
     1.05%     1.05%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.02%     0.08%  java             [kernel.kallsyms]     [k] isolate_lru_page
     1.01%     0.23%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     1.01%     0.02%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     1.00%     0.00%  java             [kernel.kallsyms]     [k] alloc_misplaced_dst_page
     0.98%     0.03%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.97%     0.01%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.95%     0.01%  java             [kernel.kallsyms]     [k] migrate_page_copy
     0.94%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __page_cache_alloc
     0.94%     0.01%  java             [kernel.kallsyms]     [k] do_swap_page
     0.93%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.93%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.92%     0.11%  java             [kernel.kallsyms]     [k] migrate_page_states
     0.92%     0.02%  java             [kernel.kallsyms]     [k] asm_sysvec_call_function
     0.92%     0.00%  java             [kernel.kallsyms]     [k] __put_page
     0.89%     0.01%  VM Thread        [kernel.kallsyms]     [k] exc_page_fault
     0.85%     0.02%  VM Thread        [kernel.kallsyms]     [k] do_user_addr_fault
     0.84%     0.09%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.83%     0.00%  java             [kernel.kallsyms]     [k] task_work_run
     0.83%     0.00%  java             [kernel.kallsyms]     [k] task_numa_work
     0.83%     0.00%  java             [kernel.kallsyms]     [k] change_prot_numa
     0.83%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_async_ra
     0.82%     0.65%  LocalJobRunner   [kernel.kallsyms]     [k] try_charge_memcg
     0.81%     0.02%  VM Thread        [kernel.kallsyms]     [k] handle_mm_fault
     0.81%     0.02%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.80%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_inc_max_seq
     0.80%     0.00%  kswapd0          [kernel.kallsyms]     [k] __walk_page_range
     0.80%     0.00%  kswapd0          [kernel.kallsyms]     [k] walk_page_range
     0.80%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_futex
     0.79%     0.01%  java             [kernel.kallsyms]     [k] swapin_readahead
     0.79%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.78%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_futex
     0.78%     0.03%  java             [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.78%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_sync_ra
     0.77%     0.04%  java             [kernel.kallsyms]     [k] find_vma
     0.76%     0.65%  kswapd0          [kernel.kallsyms]     [k] walk_pud_range
     0.75%     0.01%  java             [kernel.kallsyms]     [k] sysvec_call_function
     0.75%     0.70%  java             [kernel.kallsyms]     [k] change_protection
     0.75%     0.12%  VM Thread        [kernel.kallsyms]     [k] __handle_mm_fault
     0.74%     0.73%  java             [kernel.kallsyms]     [k] vmacache_find
     0.74%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_flush_mmu
     0.72%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.72%     0.03%  java             [kernel.kallsyms]     [k] lock_page_lruvec_irq
     0.71%     0.60%  LocalJobRunner   [kernel.kallsyms]     [k] rmqueue_bulk
     0.70%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] exc_page_fault
     0.68%     0.63%  java             [kernel.kallsyms]     [k] page_counter_charge
     0.68%     0.63%  java             [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.68%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.68%     0.00%  VM Thread        [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.68%     0.00%  java             [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.68%     0.54%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.68%     0.16%  VM Thread        [kernel.kallsyms]     [k] release_pages
     0.67%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_call_function
     0.67%     0.51%  kswapd0          [kernel.kallsyms]     [k] isolate_pages
     0.65%     0.65%  java             libc.so.6             [.] 0x00000000001b2383
     0.64%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_user_addr_fault
     0.64%     0.54%  LocalJobRunner   [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.64%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] shrink_page_list
     0.64%     0.00%  java             [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     0.63%     0.05%  java             [kernel.kallsyms]     [k] update_process_times
     0.63%     0.19%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.63%     0.46%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.62%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.61%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] move_to_new_page
     0.60%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page
     0.60%     0.30%  java             [kernel.kallsyms]     [k] numa_migrate_prep
     0.60%     0.43%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.60%     0.05%  java             [kernel.kallsyms]     [k] uncharge_batch
     0.59%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] hrtimer_interrupt
     0.58%     0.10%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.57%     0.00%  java             [kernel.kallsyms]     [k] __read_swap_cache_async
     0.56%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] rmap_walk
     0.54%     0.52%  LocalJobRunner   [kernel.kallsyms]     [k] __ptep_modify_prot_start
     0.54%     0.10%  java             [kernel.kallsyms]     [k] __pagevec_lru_add
     0.53%     0.35%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock
     0.53%     0.07%  java             [kernel.kallsyms]     [k] lru_cache_add
     0.53%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] handle_mm_fault
     0.53%     0.08%  java             [kernel.kallsyms]     [k] pick_next_task_fair
     0.53%     0.01%  java             [kernel.kallsyms]     [k] page_counter_uncharge
     0.52%     0.20%  java             [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.51%     0.05%  java             [kernel.kallsyms]     [k] remove_migration_pte
     0.51%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     0.50%     0.30%  LocalJobRunner   [kernel.kallsyms]     [k] lru_gen_add_page
     0.50%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.50%     0.46%  java             [kernel.kallsyms]     [k] page_counter_cancel
     0.50%     0.48%  java             [kernel.kallsyms]     [k] task_numa_fault
     0.49%     0.01%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.49%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lock_page_lruvec_irqsave
     0.49%     0.04%  Sampler Reader   [kernel.kallsyms]     [k] __handle_mm_fault
     0.49%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.49%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.49%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.49%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.49%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.49%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     0.49%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     0.49%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     0.49%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] worker_thread
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] kthread
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] process_one_work
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] wb_workfn
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] wb_writeback
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.48%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] __writeback_single_inode
     0.48%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] rmap_walk_anon
     0.48%     0.00%  kworker/u98:1-e  [kernel.kallsyms]     [k] do_writepages
     0.48%     0.11%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.48%     0.04%  kworker/u98:1-e  [kernel.kallsyms]     [k] ext4_writepages
     0.47%     0.00%  kswapd0          [kernel.kallsyms]     [k] arch_tlbbatch_flush
     0.47%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_unmap_flush_dirty
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     0.46%     0.01%  kswapd0          [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.45%     0.01%  java             [kernel.kallsyms]     [k] scheduler_tick
     0.44%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_timer
     0.43%     0.00%  kswapd0          [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.43%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.43%     0.33%  java             [kernel.kallsyms]     [k] error_entry
     0.42%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.41%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.41%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.41%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     0.41%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     0.41%     0.40%  LocalJobRunner   [kernel.kallsyms]     [k] down_read_trylock
     0.41%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.41%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] update_process_times
     0.40%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
     0.40%     0.00%  java             [kernel.kallsyms]     [k] evict_pages
     0.40%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_handle
     0.40%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages
     0.40%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.40%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wait
     0.39%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] create_empty_buffers
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.39%     0.18%  java             [kernel.kallsyms]     [k] charge_memcg
     0.39%     0.28%  kswapd1          [kernel.kallsyms]     [k] isolate_pages
     0.39%     0.01%  java             [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.39%     0.38%  LocalJobRunner   [kernel.kallsyms]     [k] copy_page
     0.38%     0.04%  java             [kernel.kallsyms]     [k] switch_fpu_return
     0.38%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] schedule
     0.37%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] __get_user_nocheck_1
     0.37%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] __schedule
     0.36%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] kmem_cache_alloc
     0.36%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.36%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.36%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.36%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.36%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wake
     0.36%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_state
     0.35%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.35%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.35%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_page_buffers
     0.35%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.35%     0.00%  kswapd0          [kernel.kallsyms]     [k] rmap_walk
     0.35%     0.08%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.35%     0.35%  java             [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.35%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] kthread
     0.35%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] ret_from_fork
     0.35%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] worker_thread
     0.35%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] process_one_work
     0.34%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] jbd2__journal_start
     0.34%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] wb_workfn
     0.34%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] wb_writeback
     0.34%     0.32%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_read_batch
     0.34%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.34%     0.00%  kworker/u97:7-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
